Concept Type	Concept ID	Concept Name	# Genes in Concept in Universe	# Sig Genes Belong to Concept	Proportion of Genes	Coeff	P-value	FDR	Odds Ratio	Enriched
KEGG pathway	dreM05418	Fluid shear stress and atherosclerosis	145	40	0.27586206896551724	0.20162552126434977	0.0005443301764792266	0.0005443301764792266	1.2233897888586904	enriched
KEGG pathway	dreM05200	Pathways in cancer	545	127	0.23302752293577983	0.12180963130269568	0.0006871590203776811	0.0006871590203776811	1.12953905243367	enriched
KEGG pathway	dreM04664	Fc epsilon RI signaling pathway	67	22	0.3283582089552239	0.25320648417086866	0.0008083949145528149	0.0008083949145528149	1.2881492318020238	enriched
KEGG pathway	dreM04721	Synaptic vesicle cycle	90	29	0.32222222222222224	0.23020993348256552	0.0008569901329707159	0.0008569901329707159	1.2588642599492124	enriched
KEGG pathway	dreM04928	Parathyroid hormone synthesis, secretion and action	131	35	0.26717557251908397	0.2027764498099729	0.0009008106146066515	0.0009008106146066515	1.2247986336734513	enriched
KEGG pathway	dreM04614	Renin-angiotensin system	15	7	0.4666666666666667	0.3728992284030631	0.0009550782487918379	0.0009550782487918379	1.4519380183476118	enriched
KEGG pathway	dreM04660	T cell receptor signaling pathway	118	33	0.2796610169491525	0.20924704091046187	0.0009621043932774027	0.0009621043932774027	1.2327495004754563	enriched
KEGG pathway	dreM04510	Focal adhesion	237	59	0.2489451476793249	0.16273225554939635	0.00104880600148312	0.00104880600148312	1.176721586832049	enriched
KEGG pathway	dreM04974	Protein digestion and absorption	91	23	0.25274725274725274	0.22661862842837585	0.001062205066506425	0.001062205066506425	1.2543514027437332	enriched
KEGG pathway	dreM04144	Endocytosis	263	68	0.2585551330798479	0.155717767904484	0.0011371780870443528	0.0011371780870443528	1.1684963693682977	enriched
KEGG pathway	dreM05146	Amoebiasis	82	22	0.2682926829268293	0.23233830437776445	0.001228889425954041	0.001228889425954041	1.2615464433290993	enriched
KEGG pathway	dreM04340	Hedgehog signaling pathway	68	23	0.3382352941176471	0.24630741374724288	0.0012355432862456734	0.0012355432862456734	1.2792927852882396	enriched
KEGG pathway	dreM01200	Carbon metabolism	117	35	0.29914529914529914	0.20650954584663414	0.0012533888106595916	0.0012533888106595916	1.2293794696289224	enriched
KEGG pathway	dreM04911	Insulin secretion	105	27	0.2571428571428571	0.21289325348677565	0.0013768201577534288	0.0013768201577534288	1.2372525717961989	enriched
KEGG pathway	dreM05203	Viral carcinogenesis	173	42	0.24277456647398843	0.17884039181259231	0.0014146557670351107	0.0014146557670351107	1.1958298646981733	enriched
KEGG pathway	dreM04068	FoxO signaling pathway	149	39	0.26174496644295303	0.18725522574449502	0.0015698540064775879	0.0015698540064775879	1.2059350314420656	enriched
KEGG pathway	dreM04912	GnRH signaling pathway	103	25	0.24271844660194175	0.21244577536982545	0.0015763918908252715	0.0015763918908252715	1.2366990521983696	enriched
KEGG pathway	dreM04071	Sphingolipid signaling pathway	149	33	0.2214765100671141	0.18716097846173163	0.001581662582643694	0.001581662582643694	1.2058213806978841	enriched
KEGG pathway	dreM04261	Adrenergic signaling in cardiomyocytes	195	42	0.2153846153846154	0.16931731839888906	0.0016718222259313033	0.0016718222259313033	1.1844959416519516	enriched
KEGG pathway	dreM03010	Ribosome	117	14	0.11965811965811966	-0.48624746463778906	0.0018702857027592017	0.0018702857027592017	0.6149296151487373	depleted
KEGG pathway	dreM04935	Growth hormone synthesis, secretion and action	141	36	0.2553191489361702	0.18861254220288307	0.0018769821837866468	0.0018769821837866468	1.2075729782626106	enriched
KEGG pathway	dreM05210	Colorectal cancer	103	32	0.3106796116504854	0.2099693075074503	0.001889364890204999	0.001889364890204999	1.2336401958831538	enriched
KEGG pathway	dreM04915	Estrogen signaling pathway	117	32	0.27350427350427353	0.19889751828938193	0.002221100697460852	0.002221100697460852	1.220056925972004	enriched
KEGG pathway	dreM04925	Aldosterone synthesis and secretion	122	30	0.2459016393442623	0.19503292767248162	0.0023917648219241076	0.0023917648219241076	1.2153510045107037	enriched
KEGG pathway	dreM05017	Spinocerebellar ataxia	158	43	0.2721518987341772	0.17732637700283777	0.002526665106495302	0.002526665106495302	1.1940207304466792	enriched
KEGG pathway	dreM04934	Cushing syndrome	169	42	0.2485207100591716	0.17285796968114903	0.0025691129810867168	0.0025691129810867168	1.1886972620427554	enriched
KEGG pathway	dreM04650	Natural killer cell mediated cytotoxicity	67	20	0.29850746268656714	0.23522755605129061	0.0028161101264546173	0.0028161101264546173	1.2651966391296308	enriched
KEGG pathway	dreM04914	Progesterone-mediated oocyte maturation	94	27	0.2872340425531915	0.20977210493949366	0.002992715938215131	0.002992715938215131	1.2333969428544402	enriched
KEGG pathway	dreM05161	Hepatitis B	171	47	0.27485380116959063	0.16971923650187015	0.0030839819016854797	0.0030839819016854797	1.1849721076972761	enriched
KEGG pathway	dreM05417	Lipid and atherosclerosis	200	49	0.245	0.16018580670253546	0.003090093251699445	0.003090093251699445	1.1737289374356148	enriched
KEGG pathway	dreM04973	Carbohydrate digestion and absorption	43	12	0.27906976744186046	0.26541023123328794	0.003516197229208647	0.003516197229208647	1.3039657935670483	enriched
KEGG pathway	dreM04923	Regulation of lipolysis in adipocytes	64	23	0.359375	0.23475249709233664	0.0035856131658150844	0.0035856131658150844	1.2645957388741995	enriched
KEGG pathway	dreM04725	Cholinergic synapse	134	35	0.26119402985074625	0.18170967561245724	0.0039485244404575985	0.0039485244404575985	1.1992659671755408	enriched
KEGG pathway	dreM04728	Dopaminergic synapse	168	42	0.25	0.16662533118924922	0.004191135650080767	0.004191135650080767	1.1813115817782132	enriched
KEGG pathway	dreM04211	Longevity regulating pathway	99	29	0.29292929292929293	0.19720183895285986	0.005321713992127572	0.005321713992127572	1.2179898536944194	enriched
KEGG pathway	dreM05165	Human papillomavirus infection	329	76	0.23100303951367782	0.126152155986621	0.005341477246292457	0.005341477246292457	1.1344547692362479	enriched
KEGG pathway	dreM05230	Central carbon metabolism in cancer	82	26	0.3170731707317073	0.2073820997205464	0.0062918113110551725	0.0062918113110551725	1.2304526375779927	enriched
KEGG pathway	dreM04024	cAMP signaling pathway	258	61	0.2364341085271318	0.13605816462119477	0.006544637687064854	0.006544637687064854	1.1457485336862414	enriched
KEGG pathway	dreM04070	Phosphatidylinositol signaling system	105	26	0.24761904761904763	0.18913874982872125	0.006829531796524821	0.006829531796524821	1.2082085795869941	enriched
KEGG pathway	dreM04390	Hippo signaling pathway	180	45	0.25	0.15532127545910843	0.006908309968031739	0.006908309968031739	1.1680331612207282	enriched
KEGG pathway	dreM05226	Gastric cancer	156	42	0.2692307692307692	0.16225477828444793	0.007647478337546212	0.007647478337546212	1.1761598631429802	enriched
KEGG pathway	dreM05213	Endometrial cancer	68	21	0.3088235294117647	0.2166895730647962	0.007833719929181512	0.007833719929181512	1.2419585049186468	enriched
KEGG pathway	dreM05231	Choline metabolism in cancer	104	30	0.28846153846153844	0.18271107562889563	0.010260049335834923	0.010260049335834923	1.200467513648704	enriched
KEGG pathway	dreM04658	Th1 and Th2 cell differentiation	72	18	0.25	0.20667216262902738	0.010726233114708685	0.010726233114708685	1.2295794036184842	enriched
KEGG pathway	dreM04727	GABAergic synapse	100	25	0.25	0.18427108377090384	0.010838680662404674	0.010838680662404674	1.202341714248218	enriched
KEGG pathway	dreM04150	mTOR signaling pathway	157	43	0.27388535031847133	0.15593121892050682	0.011074660544668912	0.011074660544668912	1.1687458127265804	enriched
KEGG pathway	dreM04216	Ferroptosis	44	15	0.3409090909090909	0.24134758904531162	0.011296441318683055	0.011296441318683055	1.2729634265607532	enriched
KEGG pathway	dreM04371	Apelin signaling pathway	159	42	0.2641509433962264	0.1526571361613022	0.012887751084516235	0.012887751084516235	1.164925499634545	enriched
KEGG pathway	dreM04971	Gastric acid secretion	98	23	0.23469387755102042	0.1810845091790038	0.01377472158639773	0.01377472158639773	1.1985164606556495	enriched
KEGG pathway	dreM04072	Phospholipase D signaling pathway	158	39	0.2468354430379747	0.15114889544212498	0.014376350546005808	0.014376350546005808	1.1631698358757874	enriched
KEGG pathway	dreM04713	Circadian entrainment	121	32	0.2644628099173554	0.1664776808611422	0.014777993305544301	0.014777993305544301	1.1811371736115954	enriched
KEGG pathway	dreM05207	Chemical carcinogenesis - receptor activation	191	47	0.24607329842931938	0.14006306049814726	0.014812718358071656	0.014812718358071656	1.1503463379831416	enriched
KEGG pathway	dreM05031	Amphetamine addiction	81	22	0.2716049382716049	0.1913746716626624	0.015418011196132352	0.015418011196132352	1.210913061908864	enriched
KEGG pathway	dreM05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	82	20	0.24390243902439024	0.19017234394643376	0.0157094693884367	0.0157094693884367	1.2094580224649962	enriched
KEGG pathway	dreM04137	Mitophagy - animal	80	15	0.1875	0.18958652365994647	0.017488023562535388	0.017488023562535388	1.208749704913434	enriched
KEGG pathway	dreM04931	Insulin resistance	125	31	0.248	0.16086482305983052	0.017925543419792533	0.017925543419792533	1.1745261892260355	enriched
KEGG pathway	dreM04612	Antigen processing and presentation	30	10	0.3333333333333333	0.25949627491960675	0.01826206792594328	0.01826206792594328	1.296276954966821	enriched
KEGG pathway	dreM04978	Mineral absorption	60	18	0.3	0.20553069805681468	0.020617768910730958	0.020617768910730958	1.2281766830207699	enriched
KEGG pathway	dreM05220	Chronic myeloid leukemia	88	27	0.3068181818181818	0.17964042270464664	0.020824824408226975	0.020824824408226975	1.1967869483287599	enriched
KEGG pathway	dreM04926	Relaxin signaling pathway	144	42	0.2916666666666667	0.1495847671992004	0.020986921008334044	0.020986921008334044	1.1613519111884785	enriched
KEGG pathway	dreM04080	Neuroactive ligand-receptor interaction	315	42	0.13333333333333333	-0.16041198426173175	0.021058426223902485	0.021058426223902485	0.8517927914441169	depleted
KEGG pathway	dreM00970	Aminoacyl-tRNA biosynthesis	38	11	0.2894736842105263	0.23792871247977862	0.021118031845607545	0.021118031845607545	1.2686187529163289	enriched
KEGG pathway	dreM05132	Salmonella infection	246	58	0.23577235772357724	0.12102324124738607	0.021372012896889916	0.021372012896889916	1.1286511433229574	enriched
KEGG pathway	dreM04310	Wnt signaling pathway	183	44	0.24043715846994534	0.13599903965302945	0.021439557339271446	0.021439557339271446	1.1456807933432545	enriched
KEGG pathway	dreM04933	AGE-RAGE signaling pathway in diabetic complications	118	29	0.2457627118644068	0.15958335669152268	0.02276976118996422	0.02276976118996422	1.173022037381684	enriched
KEGG pathway	dreM04929	GnRH secretion	69	18	0.2608695652173913	0.19255135059930872	0.023906755382785187	0.023906755382785187	1.2123387564307808	enriched
KEGG pathway	dreM04022	cGMP-PKG signaling pathway	200	42	0.21	0.12925752390936832	0.02412601267942075	0.02412601267942075	1.1379831443023827	enriched
KEGG pathway	dreM04918	Thyroid hormone synthesis	76	18	0.23684210526315788	0.18486855499087015	0.02526083967763022	0.02526083967763022	1.2030602934628702	enriched
KEGG pathway	dreM04924	Renin secretion	76	17	0.2236842105263158	0.18456208770964713	0.025598173868005003	0.025598173868005003	1.2026916513368455	enriched
KEGG pathway	dreM04910	Insulin signaling pathway	149	32	0.21476510067114093	0.14362932863362923	0.025852369584853773	0.025852369584853773	1.154456105383562	enriched
KEGG pathway	dreM04916	Melanogenesis	118	30	0.2542372881355932	0.15618134103762385	0.026828047253748186	0.026828047253748186	1.1690381784656758	enriched
KEGG pathway	dreM00562	Inositol phosphate metabolism	82	19	0.23170731707317074	0.17748947913168103	0.028093522874192294	0.028093522874192294	1.194215493652413	enriched
KEGG pathway	dreM00670	One carbon pool by folate	18	7	0.3888888888888889	0.2879164362661021	0.028190612942902024	0.028190612942902024	1.333645855039554	enriched
KEGG pathway	dreM05214	Glioma	89	24	0.2696629213483146	0.17192585625175252	0.02856035557556658	0.02856035557556658	1.1875897775920683	enriched
KEGG pathway	dreM04330	Notch signaling pathway	62	17	0.27419354838709675	0.1940691161348779	0.03024468851765512	0.03024468851765512	1.2141801994986408	enriched
KEGG pathway	dreM05010	Alzheimer disease	371	77	0.20754716981132076	0.09721149491896951	0.030305185927482818	0.030305185927482818	1.1020934361363455	enriched
KEGG pathway	dreM04970	Salivary secretion	83	18	0.21686746987951808	0.1740455533456132	0.031474152845355756	0.031474152845355756	1.1901097780676166	enriched
KEGG pathway	dreM04062	Chemokine signaling pathway	169	37	0.21893491124260356	0.13254414655894609	0.03214431047342163	0.03214431047342163	1.1417294184017022	enriched
KEGG pathway	dreM05170	Human immunodeficiency virus 1 infection	188	42	0.22340425531914893	0.12626193239896844	0.033521445070497945	0.033521445070497945	1.1345793124466135	enriched
KEGG pathway	dreM05100	Bacterial invasion of epithelial cells	85	19	0.2235294117647059	0.17015527445105758	0.03477557632359318	0.03477557632359318	1.1854889131701718	enriched
KEGG pathway	dreM04611	Platelet activation	131	32	0.24427480916030533	0.14429121702588463	0.035337300827829723	0.035337300827829723	1.1552204794163277	enriched
KEGG pathway	dreM03018	RNA degradation	66	18	0.2727272727272727	0.18511219166804035	0.0365017572896111	0.0365017572896111	1.2033534387842308	enriched
KEGG pathway	dreM04140	Autophagy - animal	149	39	0.26174496644295303	0.13640271567629705	0.03680477676081686	0.03680477676081686	1.1461433705692312	enriched
KEGG pathway	dreM00220	Arginine biosynthesis	21	4	0.19047619047619047	0.26739671844662094	0.03724678148515989	0.03724678148515989	1.3065586794572703	enriched
KEGG pathway	dreM05215	Prostate cancer	116	30	0.25862068965517243	0.14987729226143262	0.03739921558224726	0.03739921558224726	1.1616916854223889	enriched
KEGG pathway	dreM04917	Prolactin signaling pathway	84	20	0.23809523809523808	0.16829864638201156	0.038636123617351616	0.038636123617351616	1.1832899431448396	enriched
KEGG pathway	dreM05221	Acute myeloid leukemia	67	18	0.26865671641791045	0.1818619360019592	0.039802513531595266	0.039802513531595266	1.1994485817809521	enriched
KEGG pathway	dreM05205	Proteoglycans in cancer	236	54	0.2288135593220339	0.11198947506897476	0.03995381181739014	0.03995381181739014	1.118501088436287	enriched
KEGG pathway	dreM00051	Fructose and mannose metabolism	38	10	0.2631578947368421	0.22014396243211287	0.04068079794324302	0.04068079794324302	1.2462561317373184	enriched
KEGG pathway	dreM04114	Oocyte meiosis	125	25	0.2	0.14368054110603573	0.04080242383815442	0.04080242383815442	1.1545152294489354	enriched
KEGG pathway	dreM04012	ErbB signaling pathway	95	26	0.2736842105263158	0.1587936853236894	0.041944292809748	0.041944292809748	1.1720961011057252	enriched
KEGG pathway	dreM05166	Human T-cell leukemia virus 1 infection	212	48	0.22641509433962265	0.11517931828409662	0.04377725897197156	0.04377725897197156	1.122074628029762	enriched
KEGG pathway	dreM05224	Breast cancer	156	38	0.24358974358974358	0.12970647477196512	0.04489094798396132	0.04489094798396132	1.1384941575179666	enriched
KEGG pathway	dreM05412	Arrhythmogenic right ventricular cardiomyopathy	93	22	0.23655913978494625	0.15822071811961774	0.04513835780746625	0.04513835780746625	1.1714247208375763	enriched
KEGG pathway	dreM05142	Chagas disease	100	23	0.23	0.15351613385796073	0.04593932722641988	0.04593932722641988	1.1659265978644895	enriched
KEGG pathway	dreM04964	Proximal tubule bicarbonate reclamation	37	6	0.16216216216216217	0.21828722520456578	0.04609820702950451	0.04609820702950451	1.2439443084707866	enriched
KEGG pathway	dreM04979	Cholesterol metabolism	61	12	0.19672131147540983	0.18367588984242444	0.04658255164240091	0.04658255164240091	1.2016263006859642	enriched
KEGG pathway	dreM04668	TNF signaling pathway	110	27	0.24545454545454545	0.1476900055554546	0.04661457827381589	0.04661457827381589	1.159153509513564	enriched
KEGG pathway	dreM05034	Alcoholism	120	29	0.24166666666666667	0.14277416358784006	0.04671742837887283	0.04671742837887283	1.1534692768860981	enriched
KEGG pathway	dreM04520	Adherens junction	118	31	0.2627118644067797	0.14293961036857147	0.04822296788203768	0.04822296788203768	1.1536601304522502	enriched
KEGG pathway	dreM00830	Retinol metabolism	29	7	0.2413793103448276	0.23396740205386712	0.049223822348735596	0.049223822348735596	1.2636033006640732	enriched
KEGG pathway	dreM03083	Polycomb repressive complex	85	22	0.25882352941176473	0.15896130257755817	0.053809616988142885	0.053809616988142885	1.1722925811017215	enriched
KEGG pathway	dreM00860	Porphyrin metabolism	25	8	0.32	0.24128768000266823	0.05503573773114924	0.05503573773114924	1.2728871668248947	enriched
KEGG pathway	dreM04710	Circadian rhythm	46	14	0.30434782608695654	0.19699269352723237	0.05603451891950488	0.05603451891950488	1.2177351433247412	enriched
KEGG pathway	dreM01521	EGFR tyrosine kinase inhibitor resistance	90	23	0.25555555555555554	0.15372682789049702	0.05763819409356895	0.05763819409356895	1.166172277521745	enriched
KEGG pathway	dreM00760	Nicotinate and nicotinamide metabolism	28	8	0.2857142857142857	0.23086159815298438	0.05833219240407023	0.05833219240407023	1.259684884669302	enriched
KEGG pathway	dreM04730	Long-term depression	68	20	0.29411764705882354	0.16926056324801367	0.060396412019248356	0.060396412019248356	1.1844287173137538	enriched
KEGG pathway	dreM04014	Ras signaling pathway	245	57	0.23265306122448978	0.10157905940431781	0.06234851110362496	0.06234851110362496	1.1069174271651152	enriched
KEGG pathway	dreM03013	Nucleocytoplasmic transport	94	25	0.26595744680851063	0.1490094064561389	0.062486820485474895	0.062486820485474895	1.1606839070799992	enriched
KEGG pathway	dreM04218	Cellular senescence	168	34	0.20238095238095238	0.11752505530299648	0.06526273853730746	0.06526273853730746	1.1247098095357684	enriched
KEGG pathway	dreM04142	Lysosome	130	15	0.11538461538461539	-0.2106861048953756	0.06536988202111794	0.06536988202111794	0.8100282908944714	depleted
KEGG pathway	dreM04270	Vascular smooth muscle contraction	145	33	0.22758620689655173	0.12460720240659459	0.06552815886732921	0.06552815886732921	1.1327034424867548	enriched
KEGG pathway	dreM05323	Rheumatoid arthritis	52	4	0.07692307692307693	-0.39805342334424115	0.06712198947755715	0.06712198947755715	0.6716261461887549	depleted
KEGG pathway	dreM04630	JAK-STAT signaling pathway	121	25	0.2066115702479339	0.13229815029900946	0.06962224253501441	0.06962224253501441	1.1414485917774815	enriched
KEGG pathway	dreM02010	ABC transporters	37	10	0.2702702702702703	0.20423336458316294	0.07065455604121612	0.07065455604121612	1.226584361407726	enriched
KEGG pathway	dreM01100	Metabolic pathways	1355	269	0.1985239852398524	0.04690148531433667	0.07406257095918767	0.07406257095918767	1.0480187587553145	enriched
KEGG pathway	dreM05217	Basal cell carcinoma	70	22	0.3142857142857143	0.1612114603294549	0.07425182295654045	0.07425182295654045	1.1749333943495297	enriched
KEGG pathway	dreM04921	Oxytocin signaling pathway	182	41	0.22527472527472528	0.11070354421933432	0.07438369244689676	0.07438369244689676	1.1170636977718842	enriched
KEGG pathway	dreM05223	Non-small cell lung cancer	84	23	0.27380952380952384	0.1499829482193592	0.07553639506189774	0.07553639506189774	1.1618144315545436	enriched
KEGG pathway	dreM05135	Yersinia infection	151	32	0.2119205298013245	0.11826503987611707	0.07795061962699541	0.07795061962699541	1.1255423854527378	enriched
KEGG pathway	dreM05212	Pancreatic cancer	91	25	0.27472527472527475	0.14415190959202898	0.07892797049413353	0.07892797049413353	1.1550595598247106	enriched
KEGG pathway	dreM04920	Adipocytokine signaling pathway	83	22	0.26506024096385544	0.14710504223574108	0.08486364027449034	0.08486364027449034	1.1584756455106995	enriched
KEGG pathway	dreM04621	NOD-like receptor signaling pathway	127	26	0.2047244094488189	0.1242197440673942	0.08565118738098108	0.08565118738098108	1.1322646521041082	enriched
KEGG pathway	dreM04740	Olfactory transduction	51	10	0.19607843137254902	0.17561820362742211	0.08678276651383646	0.08678276651383646	1.1919828770242291	enriched
KEGG pathway	dreM04922	Glucagon signaling pathway	124	29	0.23387096774193547	0.1245817537358265	0.08823915881188175	0.08823915881188175	1.1326746170565551	enriched
KEGG pathway	dreM05145	Toxoplasmosis	97	21	0.21649484536082475	0.13476254148676461	0.09591018599832911	0.09591018599832911	1.144265036613843	enriched
KEGG pathway	dreM01522	Endocrine resistance	112	26	0.23214285714285715	0.12702730474775387	0.09678546393221274	0.09678546393221274	1.1354480204800108	enriched
KEGG pathway	dreM00380	Tryptophan metabolism	40	5	0.125	-0.41343044993143335	0.09991042813717692	0.09991042813717692	0.6613775316335359	depleted
KEGG pathway	dreM03082	ATP-dependent chromatin remodeling	92	22	0.2391304347826087	0.13585012464205534	0.10131152891417022	0.10131152891417022	1.1455101969778358	enriched
KEGG pathway	dreM05167	Kaposi sarcoma-associated herpesvirus infection	189	39	0.20634920634920634	0.1010277257923452	0.10290802777367639	0.10290802777367639	1.1063073145850815	enriched
KEGG pathway	dreM04927	Cortisol synthesis and secretion	72	17	0.2361111111111111	0.14854220734061702	0.10384664477706694	0.10384664477706694	1.1601417632396338	enriched
KEGG pathway	dreM05169	Epstein-Barr virus infection	157	38	0.24203821656050956	0.10714382776427031	0.11051457050059849	0.11051457050059849	1.113094336836795	enriched
KEGG pathway	dreM03460	Fanconi anemia pathway	44	5	0.11363636363636363	-0.3623995510290354	0.11321452829457479	0.11321452829457479	0.6960042230754147	depleted
KEGG pathway	dreM04370	VEGF signaling pathway	66	19	0.2878787878787879	0.15040531837304874	0.11335621373309544	0.11335621373309544	1.162305250940991	enriched
KEGG pathway	dreM04020	Calcium signaling pathway	291	62	0.21305841924398625	0.08189750863534528	0.11381148500652846	0.11381148500652846	1.0853445656832068	enriched
KEGG pathway	dreM05163	Human cytomegalovirus infection	220	48	0.21818181818181817	0.0921556339740378	0.11442829191200211	0.11442829191200211	1.0965354669737997	enriched
KEGG pathway	dreM00100	Steroid biosynthesis	18	2	0.1111111111111111	0.23581203892687722	0.11575381967925721	0.11575381967925721	1.2659363410499462	enriched
KEGG pathway	dreM05032	Morphine addiction	89	25	0.2808988764044944	0.13282143854805584	0.11712025945338744	0.11712025945338744	1.1420460547214843	enriched
KEGG pathway	dreM05131	Shigellosis	251	50	0.199203187250996	0.08499038445860642	0.12493200297484221	0.12493200297484221	1.0887065981447084	enriched
KEGG pathway	dreM04015	Rap1 signaling pathway	239	57	0.2384937238493724	0.08557635460388628	0.13108906583032806	0.13108906583032806	1.0893447346544027	enriched
KEGG pathway	dreM05410	Hypertrophic cardiomyopathy	109	20	0.1834862385321101	0.11728000954561901	0.13728647134213876	0.13728647134213876	1.1244342379338657	enriched
KEGG pathway	dreM04540	Gap junction	89	21	0.23595505617977527	0.12699616426478222	0.13834813474268137	0.13834813474268137	1.135412662630797	enriched
KEGG pathway	dreM00010	Glycolysis / Gluconeogenesis	68	16	0.23529411764705882	0.13967788547960802	0.14390519387269807	0.14390519387269807	1.1499033386327009	enriched
KEGG pathway	dreM00604	Glycosphingolipid biosynthesis - ganglio series	17	6	0.35294117647058826	0.22832447674388154	0.14600366351742686	0.14600366351742686	1.256492962039501	enriched
KEGG pathway	dreM05414	Dilated cardiomyopathy	115	23	0.2	0.11127581926325171	0.15212225456228665	0.15212225456228665	1.1177031484019522	enriched
KEGG pathway	dreM04613	Neutrophil extracellular trap formation	104	24	0.23076923076923078	0.11353966628996506	0.16269371918833553	0.16269371918833553	1.1202363236299366	enriched
KEGG pathway	dreM04110	Cell cycle	166	32	0.1927710843373494	0.09283132460331213	0.16568712708135602	0.16568712708135602	1.0972766360858137	enriched
KEGG pathway	dreM05022	Pathways of neurodegeneration - multiple diseases	465	94	0.2021505376344086	0.05840440443417067	0.17247746145969012	0.17247746145969012	1.0601436358196485	enriched
KEGG pathway	dreM00062	Fatty acid elongation	31	5	0.16129032258064516	-0.37435333675258803	0.17434096392434972	0.17434096392434972	0.6877338672419194	depleted
KEGG pathway	dreM03420	Nucleotide excision repair	50	5	0.1	-0.26289071267612585	0.17705408250770494	0.17705408250770494	0.7688259156468533	depleted
KEGG pathway	dreM04120	Ubiquitin mediated proteolysis	134	26	0.19402985074626866	0.09900281953553455	0.1787915290900225	0.1787915290900225	1.1040694125174346	enriched
KEGG pathway	dreM05202	Transcriptional misregulation in cancer	192	37	0.19270833333333334	0.0845769396739884	0.18095768280898283	0.18095768280898283	1.0882565711168006	enriched
KEGG pathway	dreM04623	Cytosolic DNA-sensing pathway	46	6	0.13043478260869565	-0.2670814417083846	0.19027197630007775	0.19027197630007775	0.7656107162815605	depleted
KEGG pathway	dreM05416	Viral myocarditis	36	9	0.25	0.16361888831711494	0.190318551772808	0.190318551772808	1.1777653694069548	enriched
