ZFIN ID	Human NCBI Gene ID
ZDB-GENE-000616-4	317
ZDB-GENE-000616-5	103
ZDB-GENE-000616-6	4617
ZDB-GENE-000616-8	5961
ZDB-GENE-000616-9	5961
ZDB-GENE-000619-1	9547
ZDB-GENE-000622-1	2627
ZDB-GENE-000626-1	7139
ZDB-GENE-000627-1	2173
ZDB-GENE-000627-2	104
ZDB-GENE-000629-1	6175
ZDB-GENE-000629-2	4803
ZDB-GENE-000629-3	4904
ZDB-GENE-000710-1	54328
ZDB-GENE-000710-2	54329
ZDB-GENE-000710-3	10201
ZDB-GENE-000710-4	7546
ZDB-GENE-000713-1	841
ZDB-GENE-000804-1	8863
ZDB-GENE-000816-1	2261
ZDB-GENE-000822-1	3223
ZDB-GENE-000822-3	3227
ZDB-GENE-000822-4	3229
ZDB-GENE-000822-5	3229
ZDB-GENE-000822-6	3228
ZDB-GENE-000823-1	3205
ZDB-GENE-000823-2	3205
ZDB-GENE-000823-3	3200
ZDB-GENE-000823-4	3201
ZDB-GENE-000823-5	3198
ZDB-GENE-000823-6	3215
ZDB-GENE-000823-7	3216
ZDB-GENE-000823-8	3207
ZDB-GENE-000823-9	3202
ZDB-GENE-000828-1	6334
ZDB-GENE-000830-1	644524
ZDB-GENE-000831-1	5091
ZDB-GENE-000831-2	2495
ZDB-GENE-000831-3	6520
ZDB-GENE-000831-4	5611
ZDB-GENE-000831-5	975
ZDB-GENE-000831-6	11040
ZDB-GENE-000901-1	972
ZDB-GENE-000906-1	6710
ZDB-GENE-000906-2	3336
ZDB-GENE-000906-3	56998
ZDB-GENE-000906-4	8326
ZDB-GENE-000920-1	1906
ZDB-GENE-000926-1	220202
ZDB-GENE-000928-1	2235
ZDB-GENE-001006-1	2249
ZDB-GENE-001019-1	6092
ZDB-GENE-001020-1	340784
ZDB-GENE-001030-2	5079
ZDB-GENE-001030-3	7849
ZDB-GENE-001030-4	5076
ZDB-GENE-001031-1	5080
ZDB-GENE-001101-1	4842
ZDB-GENE-001103-1	6662
ZDB-GENE-001103-2	6662
ZDB-GENE-001103-3	55079
ZDB-GENE-001103-4	1588
ZDB-GENE-001103-5	1366
ZDB-GENE-001106-1	89780
ZDB-GENE-001120-1	51474
ZDB-GENE-001120-2	10948
ZDB-GENE-001120-3	6770
ZDB-GENE-001127-1	483
ZDB-GENE-001127-2	482
ZDB-GENE-001127-3	481
ZDB-GENE-001127-4	481
ZDB-GENE-001128-1	1946
ZDB-GENE-001202-1	5354
ZDB-GENE-001205-1	1436
ZDB-GENE-001205-3	2643
ZDB-GENE-001205-4	1513
ZDB-GENE-001206-2	85474
ZDB-GENE-001207-1	6829
ZDB-GENE-001207-3	9915
ZDB-GENE-001208-3	5698
ZDB-GENE-001208-4	5695
ZDB-GENE-001212-1	476
ZDB-GENE-001212-2	476
ZDB-GENE-001212-3	476
ZDB-GENE-001212-4	476
ZDB-GENE-001212-5	476
ZDB-GENE-001212-6	477
ZDB-GENE-001212-7	478
ZDB-GENE-001212-8	478
ZDB-GENE-001219-1	10553
ZDB-GENE-001221-1	4899
ZDB-GENE-001222-1	338917
ZDB-GENE-001228-1	8320
ZDB-GENE-001228-2	1901
ZDB-GENE-001229-1	212
ZDB-GENE-001229-2	211
ZDB-GENE-010102-1	1634
ZDB-GENE-010108-2	27287
ZDB-GENE-010110-1	7923
ZDB-GENE-010110-2	6892
ZDB-GENE-010110-3	1616
ZDB-GENE-010110-4	9278
ZDB-GENE-010111-1	6665
ZDB-GENE-010122-1	2253
ZDB-GENE-010125-1	4988
ZDB-GENE-010126-1	4915
ZDB-GENE-010126-2	4915
ZDB-GENE-010126-3	4916
ZDB-GENE-010126-4	4916
ZDB-GENE-010129-1	128209
ZDB-GENE-010130-1	1487
ZDB-GENE-010130-2	1488
ZDB-GENE-010131-1	5863
ZDB-GENE-010131-2	1020
ZDB-GENE-010131-3	6118
ZDB-GENE-010131-6	4192
ZDB-GENE-010131-7	5644
ZDB-GENE-010131-8	1509
ZDB-GENE-010201-1	51804
ZDB-GENE-010201-2	51804
ZDB-GENE-010201-3	147912
ZDB-GENE-010202-1	5599
ZDB-GENE-010202-2	1432
ZDB-GENE-010202-3	5608
ZDB-GENE-010219-1	2641
ZDB-GENE-010226-1	2668
ZDB-GENE-010226-2	2674
ZDB-GENE-010226-3	2674
ZDB-GENE-010302-1	2296
ZDB-GENE-010302-2	2296
ZDB-GENE-010302-3	189
ZDB-GENE-010306-1	1583
ZDB-GENE-010306-3	9353
ZDB-GENE-010306-4	6586
ZDB-GENE-010316-1	6531
ZDB-GENE-010319-1	1857
ZDB-GENE-010319-27	57217
ZDB-GENE-010319-3	112939
ZDB-GENE-010319-31	6477
ZDB-GENE-010319-35	84552
ZDB-GENE-010320-1	983
ZDB-GENE-010320-2	1022
ZDB-GENE-010323-11	55740
ZDB-GENE-010323-5	9060
ZDB-GENE-010328-11	9076
ZDB-GENE-010328-13	5010
ZDB-GENE-010328-14	9069
ZDB-GENE-010328-15	3092
ZDB-GENE-010328-16	9031
ZDB-GENE-010328-17	9275
ZDB-GENE-010328-18	9569
ZDB-GENE-010328-19	7458
ZDB-GENE-010328-8	1365
ZDB-GENE-010403-1	1406
ZDB-GENE-010404-1	7080
ZDB-GENE-010406-1	312
ZDB-GENE-010406-3	10499
ZDB-GENE-010406-4	7434
ZDB-GENE-010406-5	1719
ZDB-GENE-010410-2	2743
ZDB-GENE-010410-3	441509
ZDB-GENE-010412-1	10736
ZDB-GENE-010413-1	6746
ZDB-GENE-010416-1	25805
ZDB-GENE-010426-1	1756
ZDB-GENE-010426-2	1407
ZDB-GENE-010426-3	1407
ZDB-GENE-010426-4	1407
ZDB-GENE-010426-5	1407
ZDB-GENE-010426-6	1408
ZDB-GENE-010430-2	6293
ZDB-GENE-010430-3	4594
ZDB-GENE-010430-4	9374
ZDB-GENE-010430-5	6499
ZDB-GENE-010501-4	7916
ZDB-GENE-010501-5	7917
ZDB-GENE-010501-6	10919
ZDB-GENE-010502-1	3159
ZDB-GENE-010503-1	7350
ZDB-GENE-010504-1	2516
ZDB-GENE-010507-2	9022
ZDB-GENE-010508-1	53630
ZDB-GENE-010509-2	57045
ZDB-GENE-010522-1	1356
ZDB-GENE-010525-1	6521
ZDB-GENE-010601-1	7407
ZDB-GENE-010601-2	7920
ZDB-GENE-010605-2	4094
ZDB-GENE-010605-3	389692
ZDB-GENE-010605-4	9935
ZDB-GENE-010606-1	999
ZDB-GENE-010607-1	7329
ZDB-GENE-010607-2	3479
ZDB-GENE-010607-3	2703
ZDB-GENE-010608-1	63974
ZDB-GENE-010608-2	63974
ZDB-GENE-010608-3	4761
ZDB-GENE-010608-4	50674
ZDB-GENE-010614-1	7852
ZDB-GENE-010618-1	1948
ZDB-GENE-010618-2	1947
ZDB-GENE-010618-3	1949
ZDB-GENE-010619-2	2705
ZDB-GENE-010619-3	81025
ZDB-GENE-010621-1	6935
ZDB-GENE-010625-1	1847
ZDB-GENE-010702-1	8543
ZDB-GENE-010705-1	2785
ZDB-GENE-010713-1	11061
ZDB-GENE-010716-1	79192
ZDB-GENE-010716-2	10265
ZDB-GENE-010716-3	3931
ZDB-GENE-010717-1	80139
ZDB-GENE-010718-1	482
ZDB-GENE-010724-1	8548
ZDB-GENE-010724-10	2042
ZDB-GENE-010724-11	54776
ZDB-GENE-010724-12	845
ZDB-GENE-010724-13	23576
ZDB-GENE-010724-14	634
ZDB-GENE-010724-15	6203
ZDB-GENE-010724-16	1777
ZDB-GENE-010724-17	2077
ZDB-GENE-010724-18	348
ZDB-GENE-010724-2	10753
ZDB-GENE-010724-3	9554
ZDB-GENE-010724-4	4359
ZDB-GENE-010724-5	375
ZDB-GENE-010724-6	2271
ZDB-GENE-010724-7	9276
ZDB-GENE-010724-8	1739
ZDB-GENE-010724-9	10093
ZDB-GENE-010726-1	694
ZDB-GENE-010727-1	2120
ZDB-GENE-010730-1	598
ZDB-GENE-010801-1	8743
ZDB-GENE-010803-1	6493
ZDB-GENE-010803-2	81848
ZDB-GENE-010813-1	1414
ZDB-GENE-010814-1	2155
ZDB-GENE-010816-1	4953
ZDB-GENE-010817-1	284
ZDB-GENE-010817-2	285
ZDB-GENE-010817-3	27329
ZDB-GENE-010822-1	4685
ZDB-GENE-010822-2	4684
ZDB-GENE-010822-3	54841
ZDB-GENE-010906-1	43
ZDB-GENE-010906-2	1909
ZDB-GENE-010907-1	5313
ZDB-GENE-010919-1	4286
ZDB-GENE-010919-2	7030
ZDB-GENE-010919-3	7030
ZDB-GENE-011003-1	128
ZDB-GENE-011010-1	4711
ZDB-GENE-011010-2	2551
ZDB-GENE-011010-3	8854
ZDB-GENE-011015-1	4091
ZDB-GENE-011018-1	9073
ZDB-GENE-011018-2	908
ZDB-GENE-011022-1	7358
ZDB-GENE-011023-1	1462
ZDB-GENE-011101-2	1630
ZDB-GENE-011101-3	10586
ZDB-GENE-011102-1	58157
ZDB-GENE-011105-1	5584
ZDB-GENE-011108-1	1944
ZDB-GENE-011108-2	6425
ZDB-GENE-011109-1	10365
ZDB-GENE-011109-2	10365
ZDB-GENE-011115-1	7532
ZDB-GENE-011116-1	51274
ZDB-GENE-011119-1	2239
ZDB-GENE-011128-1	3298
ZDB-GENE-011128-10	2780
ZDB-GENE-011128-11	2779
ZDB-GENE-011128-2	182
ZDB-GENE-011128-3	3714
ZDB-GENE-011128-4	182
ZDB-GENE-011128-5	2978
ZDB-GENE-011128-6	2979
ZDB-GENE-011128-7	3000
ZDB-GENE-011128-9	3000
ZDB-GENE-011207-1	6663
ZDB-GENE-011210-1	836
ZDB-GENE-011210-2	7494
ZDB-GENE-011212-1	9415
ZDB-GENE-011212-2	5862
ZDB-GENE-011212-3	7431
ZDB-GENE-011212-4	471
ZDB-GENE-011212-5	5631
ZDB-GENE-011212-6	7020
ZDB-GENE-011213-1	57801
ZDB-GENE-011219-1	1543
ZDB-GENE-011220-1	5187
ZDB-GENE-011220-2	8864
ZDB-GENE-011221-1	342977
ZDB-GENE-020102-1	7852
ZDB-GENE-020103-2	1152
ZDB-GENE-020104-1	6928
ZDB-GENE-020107-1	5786
ZDB-GENE-020107-2	5792
ZDB-GENE-020108-1	5660
ZDB-GENE-020108-2	6261
ZDB-GENE-020111-1	114294
ZDB-GENE-020111-2	1050
ZDB-GENE-020111-3	1051
ZDB-GENE-020111-4	1052
ZDB-GENE-020111-5	1054
ZDB-GENE-020114-1	5747
ZDB-GENE-020117-1	127343
ZDB-GENE-020117-2	2636
ZDB-GENE-020122-1	4211
ZDB-GENE-020122-2	4212
ZDB-GENE-020122-3	4211
ZDB-GENE-020122-5	5316
ZDB-GENE-020123-1	5316
ZDB-GENE-020123-2	9294
ZDB-GENE-020125-1	2890
ZDB-GENE-020125-2	2890
ZDB-GENE-020125-3	2891
ZDB-GENE-020125-4	2891
ZDB-GENE-020125-5	2892
ZDB-GENE-020125-7	2893
ZDB-GENE-020129-1	775
ZDB-GENE-020205-1	10277
ZDB-GENE-020208-1	3196
ZDB-GENE-020213-1	23608
ZDB-GENE-020213-2	23609
ZDB-GENE-020220-1	351
ZDB-GENE-020228-1	83985
ZDB-GENE-020228-2	6299
ZDB-GENE-020228-3	6299
ZDB-GENE-020228-4	27164
ZDB-GENE-020312-1	1912
ZDB-GENE-020318-2	2170
ZDB-GENE-020318-3	2168
ZDB-GENE-020320-1	83758
ZDB-GENE-020320-2	5948
ZDB-GENE-020320-3	1381
ZDB-GENE-020320-4	1382
ZDB-GENE-020320-5	54756
ZDB-GENE-020322-1	900
ZDB-GENE-020326-1	5687
ZDB-GENE-020402-1	8001
ZDB-GENE-020402-2	441509
ZDB-GENE-020415-1	6923
ZDB-GENE-020415-2	805
ZDB-GENE-020416-2	55208
ZDB-GENE-020416-3	7167
ZDB-GENE-020416-4	7167
ZDB-GENE-020416-5	6911
ZDB-GENE-020418-1	890
ZDB-GENE-020418-2	29927
ZDB-GENE-020419-1	7307
ZDB-GENE-020419-11	529
ZDB-GENE-020419-12	6193
ZDB-GENE-020419-13	51593
ZDB-GENE-020419-14	6632
ZDB-GENE-020419-15	5514
ZDB-GENE-020419-16	5427
ZDB-GENE-020419-17	100287932
ZDB-GENE-020419-18	6879
ZDB-GENE-020419-19	1452
ZDB-GENE-020419-2	11224
ZDB-GENE-020419-20	6222
ZDB-GENE-020419-21	10051
ZDB-GENE-020419-22	10262
ZDB-GENE-020419-23	527
ZDB-GENE-020419-24	4171
ZDB-GENE-020419-25	6152
ZDB-GENE-020419-26	6631
ZDB-GENE-020419-27	4176
ZDB-GENE-020419-28	159
ZDB-GENE-020419-29	950
ZDB-GENE-020419-3	26229
ZDB-GENE-020419-30	55308
ZDB-GENE-020419-30	11269
ZDB-GENE-020419-31	22916
ZDB-GENE-020419-32	3065
ZDB-GENE-020419-33	57617
ZDB-GENE-020419-34	51514
ZDB-GENE-020419-35	84549
ZDB-GENE-020419-36	86
ZDB-GENE-020419-37	80146
ZDB-GENE-020419-39	6491
ZDB-GENE-020419-4	4172
ZDB-GENE-020419-40	9212
ZDB-GENE-020419-5	7203
ZDB-GENE-020419-6	10576
ZDB-GENE-020419-7	10574
ZDB-GENE-020419-9	292
ZDB-GENE-020423-1	6173
ZDB-GENE-020423-2	537
ZDB-GENE-020423-3	1937
ZDB-GENE-020423-4	4666
ZDB-GENE-020423-5	2492
ZDB-GENE-020424-1	4520
ZDB-GENE-020424-2	4001
ZDB-GENE-020424-3	4000
ZDB-GENE-020426-1	3832
ZDB-GENE-020430-1	10211
ZDB-GENE-020430-2	10211
ZDB-GENE-020430-3	2319
ZDB-GENE-020501-1	476
ZDB-GENE-020503-1	3480
ZDB-GENE-020503-2	3480
ZDB-GENE-020503-3	3643
ZDB-GENE-020503-4	3643
ZDB-GENE-020506-1	6098
ZDB-GENE-020507-1	2185
ZDB-GENE-020507-2	27130
ZDB-GENE-020507-3	57216
ZDB-GENE-020508-1	1409
ZDB-GENE-020509-1	284086
ZDB-GENE-020509-2	2637
ZDB-GENE-020513-1	114757
ZDB-GENE-020513-2	2821
ZDB-GENE-020513-3	2821
ZDB-GENE-020514-1	93979
ZDB-GENE-020515-1	3399
ZDB-GENE-020515-2	4069
ZDB-GENE-020516-1	4081
ZDB-GENE-020529-1	6913
ZDB-GENE-020529-2	9096
ZDB-GENE-020530-1	5742
ZDB-GENE-020530-2	5743
ZDB-GENE-020531-1	3175
ZDB-GENE-020531-2	196
ZDB-GENE-020604-1	4622
ZDB-GENE-020708-1	7057
ZDB-GENE-020708-2	7058
ZDB-GENE-020708-3	7059
ZDB-GENE-020708-4	7060
ZDB-GENE-020709-1	4647
ZDB-GENE-020711-1	4613
ZDB-GENE-020712-1	64398
ZDB-GENE-020717-1	94239
ZDB-GENE-020731-1	57575
ZDB-GENE-020731-4	4946
ZDB-GENE-020731-5	4946
ZDB-GENE-020731-6	2332
ZDB-GENE-020801-1	583
ZDB-GENE-020801-3	9055
ZDB-GENE-020802-4	8573
ZDB-GENE-020802-5	3081
ZDB-GENE-020806-1	5326
ZDB-GENE-020806-2	5025
ZDB-GENE-020806-3	4485
ZDB-GENE-020806-4	2950
ZDB-GENE-020806-5	2099
ZDB-GENE-020808-1	79603
ZDB-GENE-020808-2	29956
ZDB-GENE-020809-1	54538
ZDB-GENE-020809-2	27
ZDB-GENE-020809-3	5983
ZDB-GENE-020809-4	116
ZDB-GENE-020812-3	57045
ZDB-GENE-020814-1	518
ZDB-GENE-020814-2	1525
ZDB-GENE-020822-1	5649
ZDB-GENE-020828-1	3037
ZDB-GENE-020829-1	6492
ZDB-GENE-020905-1	487
ZDB-GENE-020905-2	1314
ZDB-GENE-020905-3	2956
ZDB-GENE-020905-4	4522
ZDB-GENE-020905-5	5396
ZDB-GENE-020910-1	3398
ZDB-GENE-020913-1	26330
ZDB-GENE-020916-1	2987
ZDB-GENE-020916-2	29904
ZDB-GENE-020919-1	57136
ZDB-GENE-020919-2	22872
ZDB-GENE-020919-3	146862
ZDB-GENE-020919-4	8128
ZDB-GENE-020925-1	1770
ZDB-GENE-020930-1	7200
ZDB-GENE-021003-1	94
ZDB-GENE-021007-1	1432
ZDB-GENE-021008-1	8456
ZDB-GENE-021010-1	150
ZDB-GENE-021010-2	151
ZDB-GENE-021010-3	152
ZDB-GENE-021011-1	23471
ZDB-GENE-021011-2	5062
ZDB-GENE-021015-1	2628
ZDB-GENE-021015-2	26985
ZDB-GENE-021015-3	3703
ZDB-GENE-021016-1	901
ZDB-GENE-021016-2	29927
ZDB-GENE-021021-1	30012
ZDB-GENE-021021-2	3195
ZDB-GENE-021022-2	10947
ZDB-GENE-021022-3	7994
ZDB-GENE-021025-1	9044
ZDB-GENE-021028-1	4869
ZDB-GENE-021029-1	2107
ZDB-GENE-021030-1	5641
ZDB-GENE-021030-2	899
ZDB-GENE-021030-3	875
ZDB-GENE-021030-4	790
ZDB-GENE-021030-5	10048
ZDB-GENE-021031-1	4756
ZDB-GENE-021031-2	372
ZDB-GENE-021031-3	5822
ZDB-GENE-021031-4	8985
ZDB-GENE-021031-5	64094
ZDB-GENE-021031-6	1520
ZDB-GENE-021106-1	23136
ZDB-GENE-021115-1	4891
ZDB-GENE-021115-2	54822
ZDB-GENE-021115-3	50700
ZDB-GENE-021115-4	50937
ZDB-GENE-021115-5	2113
ZDB-GENE-021115-6	4004
ZDB-GENE-021115-7	5347
ZDB-GENE-021115-8	3735
ZDB-GENE-021115-9	1316
ZDB-GENE-021118-1	3038
ZDB-GENE-021119-1	1814
ZDB-GENE-021119-2	1813
ZDB-GENE-021120-1	730
ZDB-GENE-021120-2	2916
ZDB-GENE-021120-3	221
ZDB-GENE-021125-1	8467
ZDB-GENE-021204-1	10295
ZDB-GENE-021205-1	89795
ZDB-GENE-021206-1	3329
ZDB-GENE-021206-11	2203
ZDB-GENE-021206-12	6927
ZDB-GENE-021206-13	10577
ZDB-GENE-021206-14	26520
ZDB-GENE-021206-2	10056
ZDB-GENE-021206-3	6383
ZDB-GENE-021206-4	645832
ZDB-GENE-021206-7	10768
ZDB-GENE-021206-9	2159
ZDB-GENE-021209-1	4174
ZDB-GENE-021210-1	4580
ZDB-GENE-021210-2	10651
ZDB-GENE-021210-3	345778
ZDB-GENE-021210-4	93010
ZDB-GENE-021211-1	9636
ZDB-GENE-021211-2	4478
ZDB-GENE-021211-3	431705
ZDB-GENE-021212-1	57696
ZDB-GENE-021213-1	55153
ZDB-GENE-021217-1	55588
ZDB-GENE-021217-2	27042
ZDB-GENE-021217-3	200894
ZDB-GENE-021219-1	54955
ZDB-GENE-021219-2	51606
ZDB-GENE-021219-3	84844
ZDB-GENE-021220-1	23413
ZDB-GENE-021220-2	79039
ZDB-GENE-021220-3	58524
ZDB-GENE-021220-5	58524
ZDB-GENE-021220-6	25896
ZDB-GENE-021220-7	63950
ZDB-GENE-021220-8	63950
ZDB-GENE-021223-1	1605
ZDB-GENE-021223-2	4160
ZDB-GENE-021223-3	4161
ZDB-GENE-021223-4	4161
ZDB-GENE-021226-1	3912
ZDB-GENE-021226-2	22798
ZDB-GENE-021226-3	3915
ZDB-GENE-021231-1	3484
ZDB-GENE-021231-2	90121
ZDB-GENE-021231-3	23160
ZDB-GENE-021231-4	84365
ZDB-GENE-030102-1	55622
ZDB-GENE-030102-2	84186
ZDB-GENE-030102-4	1142
ZDB-GENE-030103-1	4975
ZDB-GENE-030103-2	5251
ZDB-GENE-030109-1	10856
ZDB-GENE-030109-2	8607
ZDB-GENE-030113-2	7273
ZDB-GENE-030113-3	826
ZDB-GENE-030114-1	79071
ZDB-GENE-030114-2	2746
ZDB-GENE-030114-3	8801
ZDB-GENE-030114-4	56342
ZDB-GENE-030114-5	3615
ZDB-GENE-030114-6	23603
ZDB-GENE-030114-7	51520
ZDB-GENE-030114-8	84541
ZDB-GENE-030114-9	5422
ZDB-GENE-030115-1	2597
ZDB-GENE-030115-3	9475
ZDB-GENE-030116-1	2100
ZDB-GENE-030116-2	2100
ZDB-GENE-030116-3	23256
ZDB-GENE-030121-1	51582
ZDB-GENE-030123-1	7272
ZDB-GENE-030124-1	4778
ZDB-GENE-030124-2	594
ZDB-GENE-030127-1	579
ZDB-GENE-030128-2	4155
ZDB-GENE-030128-3	4092
ZDB-GENE-030128-4	4088
ZDB-GENE-030130-1	2035
ZDB-GENE-030131-1001	150275
ZDB-GENE-030131-10018	6233
ZDB-GENE-030131-10056	124512
ZDB-GENE-030131-1007	5576
ZDB-GENE-030131-1016	4677
ZDB-GENE-030131-102	1490
ZDB-GENE-030131-1024	9741
ZDB-GENE-030131-1028	22933
ZDB-GENE-030131-1033	375790
ZDB-GENE-030131-1044	79589
ZDB-GENE-030131-105	10592
ZDB-GENE-030131-1055	3433
ZDB-GENE-030131-1057	55763
ZDB-GENE-030131-1058	1431
ZDB-GENE-030131-106	1514
ZDB-GENE-030131-1066	84263
ZDB-GENE-030131-1067	79918
ZDB-GENE-030131-1069	28970
ZDB-GENE-030131-1072	118881
ZDB-GENE-030131-1074	341
ZDB-GENE-030131-1077	3172
ZDB-GENE-030131-108	10565
ZDB-GENE-030131-1089	302
ZDB-GENE-030131-1091	2184
ZDB-GENE-030131-1092	4528
ZDB-GENE-030131-1096	10549
ZDB-GENE-030131-1107	29035
ZDB-GENE-030131-1117	7528
ZDB-GENE-030131-1132	1360
ZDB-GENE-030131-1144	6898
ZDB-GENE-030131-1145	81631
ZDB-GENE-030131-1158	11335
ZDB-GENE-030131-1171	1504
ZDB-GENE-030131-1171	440387
ZDB-GENE-030131-1175	928
ZDB-GENE-030131-1178	352999
ZDB-GENE-030131-1187	6999
ZDB-GENE-030131-1193	57121
ZDB-GENE-030131-1201	1056
ZDB-GENE-030131-1205	183
ZDB-GENE-030131-1213	6514
ZDB-GENE-030131-1226	1728
ZDB-GENE-030131-1228	8971
ZDB-GENE-030131-1229	59
ZDB-GENE-030131-1232	716
ZDB-GENE-030131-1233	6675
ZDB-GENE-030131-1238	51292
ZDB-GENE-030131-124	506
ZDB-GENE-030131-1247	10072
ZDB-GENE-030131-1249	10170
ZDB-GENE-030131-1253	290
ZDB-GENE-030131-1257	223
ZDB-GENE-030131-1259	3240
ZDB-GENE-030131-1262	710
ZDB-GENE-030131-1263	337
ZDB-GENE-030131-1264	5611
ZDB-GENE-030131-1269	7385
ZDB-GENE-030131-1280	5295
ZDB-GENE-030131-1291	6122
ZDB-GENE-030131-1296	79038
ZDB-GENE-030131-13	23112
ZDB-GENE-030131-1301	80305
ZDB-GENE-030131-1312	968
ZDB-GENE-030131-1319	1964
ZDB-GENE-030131-1324	6462
ZDB-GENE-030131-1325	56994
ZDB-GENE-030131-1329	256435
ZDB-GENE-030131-1332	51295
ZDB-GENE-030131-1334	384
ZDB-GENE-030131-1346	51144
ZDB-GENE-030131-1348	8131
ZDB-GENE-030131-1365	10452
ZDB-GENE-030131-1368	94009
ZDB-GENE-030131-1378	11212
ZDB-GENE-030131-1380	51733
ZDB-GENE-030131-139	5868
ZDB-GENE-030131-1390	50
ZDB-GENE-030131-1393	10274
ZDB-GENE-030131-1394	23178
ZDB-GENE-030131-1411	5340
ZDB-GENE-030131-1414	23157
ZDB-GENE-030131-1421	5265
ZDB-GENE-030131-1423	55279
ZDB-GENE-030131-1426	200014
ZDB-GENE-030131-1428	57580
ZDB-GENE-030131-1435	64118
ZDB-GENE-030131-1437	54812
ZDB-GENE-030131-1441	54814
ZDB-GENE-030131-145	10469
ZDB-GENE-030131-1452	239
ZDB-GENE-030131-1458	11077
ZDB-GENE-030131-146	55749
ZDB-GENE-030131-1473	130507
ZDB-GENE-030131-1495	8233
ZDB-GENE-030131-15	3398
ZDB-GENE-030131-1500	54187
ZDB-GENE-030131-1502	23515
ZDB-GENE-030131-1505	54989
ZDB-GENE-030131-1506	7072
ZDB-GENE-030131-1515	64651
ZDB-GENE-030131-1516	645
ZDB-GENE-030131-1517	5607
