Disease ID	Disease Description
H00070	Galactosemia
H00071	Hereditary fructose intolerance; Fructosemia
H00072	Pyruvate dehydrogenase complex deficiency
H00073	Pyruvate carboxylase deficiency
H00074	Canavan disease
H00075	Refsum disease; Heredopathia atactica polyneuritiformis
H00076	Cockayne syndrome
H00077	Progressive supranuclear palsy; Steele-Richardson-Olszewski syndrome
H00078	Frontotemporal lobar degeneration
H00079	Asthma
H00080	Systemic lupus erythematosus
H00081	Hashimoto thyroiditis
H00082	Graves disease
H00083	Allograft rejection
H00084	Graft-versus-host disease
H00085	Agammaglobulinemias
H00086	Hyper IgM syndromes, autosomal recessive type
H00087	Other humoral immunodeficiencies
H00088	Common variable immunodeficiency
H00089	IFN-gamma/IL-12 axis; Mendelian susceptibility to mycobacterial disease (MSMD)
H00090	NK cell defects
H00091	T-B+Severe combined immunodeficiency
H00092	T-B-Severe combined immunodeficiency
H00093	Combined immunodeficiency
H00094	Immunodeficiency associated with DNA repair defects
H00095	Ectodermal dysplasia and immunodeficiency
H00096	Defects of toll-like receptor signaling
H00097	WHIM syndrome
H00098	Chronic granulomatous disease
H00099	Leukocyte adhesion deficiency
H00100	Neutropenic disorders
H00101	Other phagocyte defects
H00102	Classic complement pathway component defects
H00103	Late complement pathway defects
H00104	Alternative complement pathway component defects
H00105	Mannose-binding lectin pathway component defects; Lectin complement activation pathway, defect in (LCAPD)
H00106	Complement regulatory protein defects
H00107	Other well-defined immunodeficiency syndromes
H00108	Autoimmune lymphoproliferative syndromes
H00109	Familial hemophagocytic lymphohistiocytosis
H00110	Cholera
H00111	Typhoid fever
H00112	Paratyphoid fever
H00113	Salmonellosis
H00114	Fructose-1,6-bisphosphatase deficiency
H00115	Congenital sucrase-isomaltase deficiency; Disaccharide intolerance I
H00116	Congenital lactase deficiency; Disaccharide intolerance II
H00117	Primary hyperoxaluria
H00118	Congenital disorders of glycosylation type I
H00119	Congenital disorders of glycosylation type II
H00120	Muscular dystrophy-dystroglycanopathy type A
H00122	Multiple exostoses
H00123	Mucopolysaccharidosis type IV
H00124	GM2 gangliosidoses
H00125	Fabry disease; Anderson-Fabry disease
H00126	Gaucher disease
H00127	Metachromatic leukodystrophy
H00128	Mucopolysaccharidosis type I; Hurler-Scheie syndrome; Hurler syndrome; Scheie syndrome
H00129	Mucopolysaccharidosis type II; Hunter syndrome
H00130	Mucopolysaccharidosis type III
H00131	Mucopolysaccharidosis type VI; Maroteaux-Lamy syndrome
H00132	Mucopolysaccharidosis type VII; Sly syndrome
H00133	Mucopolysaccharidosis type IX; Hyaluronidase deficiency
H00134	X-linked ichthyosis
H00135	Krabbe disease; Globoid cell leukodystrophy
H00136	Niemann-Pick disease type C
H00137	Niemann-Pick disease type A/B
H00138	Farber lipogranulomatosis; Farber disease
H00139	alpha-Mannosidosis
H00140	beta-Mannosidosis
H00141	Fucosidosis
H00142	Sialidosis; Mucolipidosis I
H00143	Mucolipidosis II; I-cell disease
H00144	Mucolipidosis IV
H00145	Aspartylglucosaminuria
H00146	Alpha-N-acetylgalactosaminidase deficiency
H00147	Sialuria
H00148	Lysosomal acid lipase deficiency
H00149	Neuronal ceroid lipofuscinosis
H00150	Danon disease; X-linked vacuolar cardiomyopathy and myopathy
H00151	Cerebrotendinous xanthomatosis; Van Bogaert-Scherer-Epstein Disease
H00152	Sitosterolemia
H00153	Familial combined hyperlipidemia
H00154	Hyperlipoproteinemia, type I
H00155	Familial hypercholesterolemia; Autosomal dominant hypercholesterolaemia
H00156	Hyperlipoproteinemia, type III; Dysbetalipoproteinemia
H00157	Hyperlipoproteinemia, type V
H00158	Lecithin:cholesterol acyltransferase deficiency; Norum disease; Fish-eye disease
H00159	Tangier disease
H00160	Abetalipoproteinemia; Bassen-Kornzweig Disease
H00161	Smith-Lemli-Opitz syndrome
H00162	Sjogren-Larsson syndrome
H00163	Alkaptonuria
H00164	Carbamoyl phosphate synthetase I deficiency
H00165	Tyrosinemia
H00166	Hermansky-Pudlak syndrome
H00167	Phenylketonuria; Hyperphenylalaninemia, BH4-deficient
H00168	Oculocutaneous albinism
H00169	Ocular albinism; Ocular albinism type I (OA1); Waardenburg syndrome type II (WS2-OA)
H00170	Piebaldism
H00171	Histidinemia
H00172	Maple syrup urine disease
H00173	Isovaleric acidemia
H00174	Methylmalonic aciduria; Methylmalonic acidemia
H00175	Propionic acidemia
H00176	Adrenoleukodystrophy
H00177	Neonatal adrenoleukodystrophy
H00178	Glutaric acidemia
H00179	3-Hydroxy-3-methylglutaryl-CoA lyase deficiency
H00180	Holocarboxylase synthetase deficiency; Multiple carboxylase deficiency
H00181	3-Methylcrotonylglycinuria; 3-Methylcrotonyl-CoA carboxylase deficiency
H00182	Cystathioninuria
H00183	Homocystinuria
H00184	Hypermethioninemia
H00185	Citrullinemia
H00186	Hyperargininemia
H00187	Ornithine transcarbamylase deficiency
H00188	Hyperlysinemia
H00189	Ornithinaemia; Gyrate Atrophy
H00190	Hyperprolinemia
H00191	Nonketotic hyperglycinemia; Glycine encephalopathy (GCE)
H00192	Xanthinuria
H00193	Dihydropyrimidine dehydrogenase deficiency
H00194	Lesch-Nyhan syndrome; Hypoxanthine-guanine phosophoribosyltransferase deficiency
H00195	Adenine phosphoribosyltransferase deficiency; 2,8-Dihydroxyadenine urolithiasis
H00196	Phosphoribosylpyrophosphate synthetase superactivity
H00197	Adenylosuccinate lyase deficiency
H00198	Orotic aciduria
H00199	Dihydropyrimidinase deficiency; Dihydropyrimidinuria
H00200	Beta-ureidopropionase deficiency
H00201	Erythropoietic porphyria
H00202	Hepatic porphyria
H00203	Acatalasemia; Takahara disease
H00204	Heimler syndrome
H00205	Peroxisome biogenesis disorder
H00206	Mevalonate kinase deficiency
H00207	Rhizomelic chondrodysplasia punctata
H00208	Hyperbilirubinemia
H00209	Menkes syndrome
H00210	Wilson disease; Hepatolenticular degeneration
H00211	Hemochromatosis
H00212	Acrodermatitis enteropathica
H00213	Hypophosphatasia
H00214	Hypophosphatemic rickets
H00215	Periodic paralysis
H00216	Congenital adrenal hyperplasia
H00217	Pulmonary alveolar proteinosis
H00218	Cystic fibrosis
H00219	Hemophilia
H00220	Factor V deficiency; Owren disease
H00221	Combined deficiency of factors V and VIII
H00222	Afibrinogenemia; Dysfibrinogenemia
H00223	Inherited thrombophilia; Thrombophilia due to thrombin defect (THPH)
H00224	Bernard-Soulier syndrome; Giant platelet syndrome
H00225	Thrombotic thrombocytopenic purpura; Moschcowitz disease; Schulman-Upshaw syndrome
H00226	Glanzmann thrombasthenia
H00227	Congenital amegakaryocytic thrombocytopenia
H00228	Thalassemia
H00229	Sickle cell anemia
H00230	Hereditary spherocytosis
H00231	Hereditary elliptocytosis
H00232	Hereditary stomatocytosis
H00233	MYH9-related disease; Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss (MATINS)
H00234	Pelger-Huet anomaly
H00235	Methemoglobinemia
H00236	Congenital polycythemia; Familial erythrocytosis (ECYT)
H00237	Diamond-Blackfan anemia
H00238	Fanconi anemia
H00239	Bartter syndrome
H00240	Gitelman syndrome
H00241	Combined proximal and distal renal tubular acidosis (RTA type 3)
H00242	Liddle syndrome
H00243	Hyperkalemic distal renal tubular acidosis (RTA type 4)
H00244	Pseudohypoparathyroidism
H00245	Calcium sensing receptor (CASR) related disease
H00246	Primary hyperparathyroidism; Familial hyperparathyroidism
H00247	Multiple endocrine neoplasia syndrome; Wermer syndrome; Sipple syndrome
H00249	Thyroid hormone resistance syndrome
H00250	Congenital nongoitrous hypothyroidism (CHNG)
H00251	Thyroid dyshormonogenesis; Dyshormogenetic goiter
H00252	Congenital nephrogenic diabetes insipidus
H00253	Neurohypophyseal diabetes insipidus; Central diabetes insipidus
H00254	Growth hormone deficiency; Pituitary dwarfism
H00255	Hypogonadotropic hypogonadism
H00256	Familial glucocorticoid deficiency
H00257	Achalasia Addisonianism Alacrima syndrome; Triple A syndrome; Allgrove syndrome
H00258	Aldosterone synthase deficiency; Corticosterone methyloxidase type I deficiency; Corticosterone methyloxidase type II deficiency
H00259	Apparent mineralocorticoid excess syndrome; 11-beta-ketoreductase deficiency
H00260	Pigmented micronodular adrenocortical disease
H00261	Meckel syndrome; Meckel-Gruber syndrome
H00262	Neural tube defects, folate-sensitive
H00263	Acrocallosal syndrome
H00264	Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy
H00265	Hereditary sensory and autonomic neuropathy
H00266	Hereditary spastic paraplegia
H00267	Holoprosencephaly
H00268	Lissencephaly
H00269	Primary microcephaly
H00270	Periventricular nodular heterotopia
H00271	Polymicrogyria
H00272	Multiple sulfatase deficiency
H00273	Pycnodysostosis
H00274	Papillon-Lefevre syndrome
H00275	Cystinosis
H00276	Galactosialidosis; Neuraminidase deficiency with beta-galactosidase deficiency
H00277	Enterohemorrhagic Escherichia coli (EHEC) infection
H00278	Enteropathogenic Escherichia coli (EPEC) infection
H00279	Uropathogenic Escherichia coli (UPEC) infection
H00280	Enterotoxigenic Escherichia coli (ETEC) infection
H00281	GM1 gangliosidosis
H00282	Cryopyrin associated periodic syndrome
H00283	Ebola disease; Ebola hemorrhagic fever
H00284	Crimean-Congo hemorrhagic fever
H00285	Blau syndrome
H00286	Crohn disease
H00287	Pyogenic sterile arthritis, pyoderma gangrenosum, and acne syndrome
H00288	Familial Mediterranean fever; Familial hereditary periodic fever syndromes
H00289	Recurrent hydatidiform moles; Familial biparental hydatidiform
H00290	Aicardi-Goutieres syndrome
H00291	Familial chilblain lupus (FCL); Chilblain lupus erythematosus (CHLE)
H00292	Hypertrophic cardiomyopathy
H00293	Arrhythmogenic right ventricular cardiomyopathy
H00294	Dilated cardiomyopathy
H00295	Viral myocarditis
H00296	Defects in RecQ helicases
H00297	Plague
H00298	Yersiniosis
H00299	Shigellosis; Bacillary dysentery
H00300	Enterobacter infection
H00301	Klebsiella infection
H00302	Citrobacter infection
H00303	Serratia infection
H00304	Haemophilus influenzae infection
H00305	Chancroid
H00306	Pasteurellosis
H00307	Vibrio parahaemolyticus infection
H00308	Vibrio vulnificus infection
H00309	Multidrug-resistant Acinetobacter infection
H00310	Q fever
H00311	Legionellosis; Legionnaires disease
H00312	Tularemia
H00313	Multidrug-resistant Pseudomonas aeruginosa infection
H00314	Meningococcal infection
H00315	Gonococcal infection; Gonorrhea
H00316	Glanders
H00317	Melioidosis
H00319	Pertussis; Whooping cough
H00320	Helicobacter pylori infection
H00321	Campylobacter infection; Campylobacteriosis
H00322	Epidemic typhus
H00323	Spotted fever; Tick-borne rickettsioses
H00324	Scrub typhus
H00325	Brucellosis
H00326	Bartonellosis
H00327	Trench fever
H00328	Anthrax
H00329	Foodborne Bacillus cereus intoxication
H00330	Methicillin-resistant Staphylococcal aureus (MRSA) infection
H00331	Vancomycin-resistant Staphylococcal aureus (VRSA) infection
H00332	Listeriosis
H00333	Streptococcal infection
H00334	Bacterial endocarditis; Infective endocarditis
H00335	Foodborne Clostridium perfringens intoxication
H00336	Gas gangrene; Clostridial myonecrosis
H00337	Tetanus
H00338	Pseudomembranous colitis
H00339	Botulism
H00340	Vancomycin-resistant enterococci infection
H00341	Mycoplasma pneumonia
H00342	Tuberculosis
H00343	Diphtheria
H00344	Leprosy; Hansen disease
H00345	Nocardiosis
H00346	Extrinsic allergic alveolitis; Hypersensitivity pneumonitis
H00347	Chlamydia infection
H00348	Lymphogranuloma venereum
H00349	Trachoma
H00350	Psittacosis; Parrot fever
H00351	Chlamydial pneumonia
H00352	Whipple disease
H00353	Lyme borreliosis; Lyme disease
H00354	Syphilis
H00355	Leptospirosis; Weil disease
H00356	Cryptosporidiosis
H00357	African trypanosomiasis; Sleeping sickness
H00358	Chagas disease; American trypanosomiasis
H00359	Leishmaniasis
H00360	Amoebiasis
H00361	Malaria
H00362	Giardiasis; Lambliasis
H00363	Candidiasis
H00364	Cryptococcosis
H00365	Herpes simplex virus infection; HSV infection
H00366	Varicella; Chickenpox; Herpes zoster; Shingles
H00367	Infectious mononucleosis; Epstein-Barr virus (EBV) infection
H00368	Cytomegalovirus infection; CMV infection
H00369	Exanthema subitum; Roseolovirus infection; Roseola; Pityriasis rosea
H00370	Progressive multifocal leukoencephalopathy
H00371	Adenovirus infection
H00372	Smallpox; Variola
H00373	Mpox (Monkeypox)
H00374	Viral wart
H00375	SBCAD deficiency; Short-branched-chain acyl-CoA dehydrogenase deficiency
H00376	Acute poliomyelitis; Polio
H00377	Rabies
H00378	Lyssavirus infection; Rabies-related virus infection
H00379	Mosquito-borne viral encephalitis
H00380	Tick-borne viral encephalitis
H00381	Dengue
H00382	Mosquito-borne viral fever
H00383	Arthropod-borne viral fever
H00384	Yellow fever
H00385	South American hemorrhagic fever
H00386	Lassa fever
H00387	B virus infection
H00388	Non-chlamydial non-gonococcal urethritis
H00389	Hemorrhagic fever with renal syndrome
H00390	Hantavirus pulmonary syndrome
H00391	Henipavirus infection
H00392	VLCAD deficiency; Very long-chain acyl-CoA dehydrogenase deficiency
H00393	Enterovirus infection; Non-polio enterovirus infection
H00394	Measles
H00395	Rubella
H00396	Mumps
H00397	Ross River fever
H00398	Influenza
H00399	Avian influenza; Bird flu; H5N1 flu
H00400	Parainfluenza infection
H00401	Respiratory syncytial virus infection; RSV infection
H00402	Severe acute respiratory syndrome; SARS
H00403	Disorders of nucleotide excision repair
H00404	Erythema infectiosum; Fifth disease
H00405	Marburg disease; Marburg hemorrhagic fever
H00406	Acquired immunodeficiency syndrome (AIDS)
H00407	Peroxisomal beta-oxidation enzyme deficiency
H00408	Type 1 diabetes mellitus
H00409	Type 2 diabetes mellitus
H00410	Maturity onset diabetes of the young (MODY)
H00411	Hepatitis A; Hepatitis A virus (HAV) infection
H00412	Hepatitis B; Hepatitis B virus (HBV) infection
H00413	Hepatitis C; Hepatitis C virus (HCV) infection
H00414	Hepatitis D; Hepatitis D virus (HDV) infection; Hepatitis delta virus infection
H00415	Hepatitis E; Hepatitis E virus (HEV) infection
H00416	Omsk hemorrhagic fever
H00417	Alstrom syndrome
H00418	Bardet-Biedl syndrome
H00419	Congenital generalized lipodystrophy
H00420	Familial partial lipodystrophy
H00421	Mucopolysaccharidosis
H00422	Glycoproteinoses
H00423	Sphingolipidosis
H00424	Defects in the degradation of sphingomyelin
H00425	Lysosomal cysteine protease deficiencies
H00426	Gangliosidosis
H00427	Relapsing fever
H00428	Distal renal tubular acidosis (RTA type 1)
H00429	Proximal renal tubular acidosis (RTA type 2)
H00430	Fibrodysplasia ossificans progressiva
H00431	Ossification of the posterior longitudinal ligament of spine
H00432	Hereditary dentine disorders
H00433	Holt-Oram syndrome
H00434	Camurati-Engelmann disease; Progressive diaphyseal dysplasia
H00435	Toxoplasmosis
H00436	Osteopetrosis
H00437	Paget disease of bone
H00438	Nasu-Hakola disease; Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy
H00439	Shwachman-Diamond syndrome
H00440	Rett syndrome
H00441	Progressive osseous heteroplasia
H00442	Campomelic dysplasia
H00443	Osteoglophonic dysplasia; Osteoglophonic dwarfism
H00444	Osteopathia striata with cranial sclerosis
H00445	Osteoarthritis with mild chondrodysplasia
H00446	Craniofacial-deafness-hand syndrome
H00447	HEM skeletal dysplasia; Greenberg dysplasia
H00448	Familial osteochondritis dissecans; Osteochondritis dissecans, short stature, and early-onset osteoarthritis
H00449	Oculodentodigital dysplasia
H00450	Worth type autosomal dominant osteosclerosis; Endosteal hyperostosis
H00451	Osteoporosis-pseudoglioma syndrome
H00452	Buschke-Ollendorff syndrome; Osteopoikilosis
H00453	Branchio-oto-renal syndrome; BOR syndrome
H00454	Oral-facial-digital syndrome
H00455	Spinal muscular atrophy
H00456	Fronto-otopalatodigital syndromes
H00457	Primary hypertrophic osteoarthropathy
H00458	Syndromic craniosynostoses
H00459	Synpolydactyly
H00460	Hand-foot-genital syndrome
H00461	Ischiocoxopodopatellar syndrome; Coxopodopatellar syndrome; Small patella syndrome; Scott-Taor syndrome
H00462	Stuve-Wiedemann syndrome
H00463	Currarino syndrome
H00464	Nail-patella syndrome
H00465	Fragile X syndrome
H00466	Grebe dysplasia; Acromesomelic dysplasia Hunter-Thompson type
H00467	Fibular hypoplasia and complex brachydactyly; Du Pan syndrome; Acromesomelic dysplasia 2B
H00468	Acromesomelic dysplasia, Demirhan type; Acromesomelic dysplasia with genital anomalies
H00469	Mitochondrial DNA depletion syndrome
H00470	Acromesomelic dysplasia, Maroteaux type
H00471	Split-hand/foot malformation
H00472	Torg syndrome; Torg-Winchester syndrome; Multicentric osteolysis, nodulosis, and arthropathy
H00473	Mitochondrial complex I deficiency
H00474	Schneckenbecken dysplasia
H00475	Enlarged parietal foramina/cranium bifidum
H00476	Multiple epiphyseal dysplasia
H00477	Pseudoachondroplasia
H00478	Prader-Willi syndrome
H00479	Metaphyseal dysplasias
H00480	X-linked intellectual developmental disorder; X-linked mental retardation
H00481	Cone-rod dystrophy and cone dystrophy
H00482	Brachydactyly
H00483	Angel shaped phalangoepiphyseal dysplasia
H00484	Multiple synostosis syndrome
H00485	Robinow syndrome
H00486	Sclerosteosis
H00487	Tricho-dento-osseous syndrome
H00488	MCAD deficiency; Medium-chain acyl-CoA dehydrogenase deficiency; ACADM deficiency
H00489	LCHAD deficiency; Long-chain 3-hydroxyacyl CoA dehydrogenase deficiency
H00490	Diaphyseal dysplasia with anemia; Ghosal hematodiaphyseal dysplasia
H00491	Craniometaphyseal dysplasia
H00492	SHOX-related short stature
H00493	Heparan sulfate proteoglycan gene defects
H00494	Desbuquois syndrome; Desbuquois dysplasia (DBQD)
H00495	Eiken dysplasia
H00496	Congenital hemidysplasia with ichthyosiform nevus and limb defects (CHILD)
H00497	Cherubism
H00498	Gnathodiaphyseal dysplasia
H00499	Spondylocarpotarsal synostosis syndrome
H00500	Keutel syndrome
H00501	Fibrous dysplasia, polyostotic; McCune-Albright syndrome; Albright hereditary osteodystrophy
H00502	Pallister-Hall syndrome
H00503	Ellis-van Creveld syndrome
H00504	Rubinstein-Taybi syndrome
H00505	FGFR3-related short limb skeletal dysplasia
H00506	Osteogenesis imperfecta
H00507	Dyskeratosis congenita
H00508	Blomstrand syndrome; Blomstrand chondrodysplasia
H00509	3M syndrome
H00510	Feingold syndrome
H00511	Short rib-polydactyly syndrome
H00512	Permanent neonatal diabetes mellitus
H00513	Transient neonatal diabetes mellitus
H00514	Bruck syndrome
H00515	Atelosteogenesis type II
H00516	Cleft lip and/or cleft palate
H00517	Spondylocostal dysostosis
H00518	Metaphyseal dysplasia without hypotrichosis
H00519	Spondyloepiphyseal dysplasia congenita
H00520	Type II collagenopathies
H00521	Cleidocranial dysplasia
H00522	Brachyolmia
H00523	Noonan syndrome and related disorders
H00524	Scapuloperoneal spinal muscular atrophy
H00525	Disorders of mitochondrial fatty-acid oxidation
H00526	Camptodactyly-arthropathy-coxa vara-pericarditis syndrome; Jacobs syndrome
H00527	Retinitis pigmentosa
H00528	Frontonasal dysplasia
H00529	Cranioectodermal dysplasia
H00530	Joubert syndrome and related disorders
H00531	Venous malformations
H00532	Parkes Weber syndrome
H00533	Hereditary hemorrhagic telangiectasia; Osler disease
H00534	Cerebral cavernous malformation
H00535	Lymphatic malformation
H00536	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy (CADASIL)
H00537	Nephronophthisis
H00538	Senior-Loken syndrome
H00539	PTEN hamartoma tumor syndrome
H00540	Osteoporosis, lymphedema, anhydrotic ectodermal dysplasia with immunodeficiency (OLEDAID); Ectodermal dysplasia and immunodeficiency 1 (EDAID1); Ectodermal dysplasia, anhidrotic, with immunodeficiency, osteopetrosis, and lymphedema
H00541	Autosomal dominant tubulointerstitial kidney disease
H00542	Polycystic kidney disease
H00543	Renal-hepatic-pancreatic dysplasia
H00544	Septo-optic dysplasia
H00545	Polycystic liver disease
H00546	Atrial septal defect
H00547	Atrioventricular septal defect; Atrioventricular canal defect
H00548	Brunner syndrome; MAOA deficiency
H00549	Tetralogy of Fallot
H00550	Complete transposition of the great arteries
H00551	Alagille syndrome
H00552	Chromosome Xp21 deletion syndrome
H00553	Congenital supravalvular aortic stenosis
H00554	Aortic valve disease; Bicuspid aortic valve
H00555	Char syndrome
H00556	CHARGE syndrome
H00557	Cutis laxa
H00558	Geroderma osteodysplasticum
H00559	von Hippel-Lindau syndrome
H00560	Pseudoxanthoma elasticum
H00561	Brachydactyly-mental retardation syndrome; Chromosome 2q37 deletion syndrome
H00562	Dystrophinopathies
H00563	Emery-Dreifuss muscular dystrophy
H00564	Primary ciliary dyskinesia
H00565	Sarcoglycanopathies
H00566	Distal myopathy with anterior tibial onset
H00567	Limb-girdle muscular dystrophy 1C; Limb-girdle muscular dystrophy, caveolin myopathy
H00568	Myotonic dystrophy
H00569	Aarskog-Scott syndrome; Faciogenital dysplasia
H00570	Kabuki syndrome
H00571	Johanson-Blizzard syndrome
H00572	Roberts-SC phocomelia syndrome
H00573	Townes-Brocks syndrome
H00574	Coffin-Lowry syndrome
H00575	Renal tubular dysgenesis
H00576	Pierson syndrome
H00577	Symptomatic generalized epilepsies
H00578	Epstein syndrome
H00579	Hereditary angiopathy with nephropathy, aneurysms, and muscle cramps (HANAC)
H00580	Schimke immunoosseous dysplasia
H00581	Alport syndrome
H00582	Benign familial hematuria; Thin basement membrane nephropathy
H00583	Opitz-GBBB syndrome
H00584	Epidermolysis bullosa simplex
H00585	Epidermolysis bullosa, hemidesmosomal
H00586	Epidermolysis bullosa, junctional
H00587	Epidermolysis bullosa, dystrophica
H00588	Kindler syndrome
H00589	Familial exudative vitreoretinopathy
H00590	Congenital muscular dystrophies (CMD/MDC)
H00591	Facioscapulohumeral muscular dystrophy
H00592	Calpainopathy; Limb-girdle muscular dystrophy 2A
H00593	Limb-girdle muscular dystrophy
H00594	Distal myopathy
H00595	Myofibrillar myopathies
H00596	Nonaka myopathy (NM); Nonaka distal myopathy; Hereditary inclusion body myopathy (HIBM)
H00597	Snyder-Robinson syndrome
H00598	46,XX testicular disorder of sex development
H00599	Ovarian dysgenesis; 46,XX gonadal dysgenesis
H00600	Mullerian agenesis; Mayer Rokitansky Kuster Hauser syndrome
H00601	Hutchinson-Gilford progeria syndrome
H00602	Glucocorticoid-remediable aldosteronism (GRA); Familial hyperaldosteronism type I
H00603	Hypertension exacerbated in pregnancy
H00604	Deafness, autosomal dominant
H00605	Deafness, autosomal recessive
H00606	Early infantile epileptic encephalopathy; Developmental and epileptic encephalopathy; Ohtahara syndrome
H00607	46,XY gonadal dysgenesis
H00608	46,XY disorder of sex development due to testosterone secretion defect
H00609	Persistent Mullerian duct syndrome
H00610	Treacher Collins syndrome
H00611	Popliteal pterygium syndrome (PPS)
H00612	Primary open angle glaucoma; Glaucoma 1
H00613	Infantile cortical hyperostosis; Caffey disease
H00614	Hyaline fibromatosis syndrome
H00615	Amelogenesis imperfecta
H00616	Bowen-Conradi syndrome
H00617	Desmosterolosis
H00618	Amelogenesis imperfecta hypoplastic-hypomaturation with taurodontism
H00619	Kenny-Caffey syndrome
H00620	Axenfeld-Rieger syndrome
H00621	Alopecia neurologic defects and endocrinopathy syndrome; ANE syndrome
H00622	Hypoparathyroidism-retardation-dysmorphism syndrome; Sanjad-Sakati syndrome
H00623	Hajdu-Cheney syndrome
H00624	Progressive familial intrahepatic cholestasis
H00625	Tooth agenesis; Hypodontia
H00626	Focal segmental glomerulosclerosis
H00627	Premature ovarian failure
H00628	Congenital bile acid synthesis defect
H00629	Acheiropodia
H00630	Rheumatoid arthritis
H00631	Cornelia de Lange syndrome
H00632	Heterotaxy; Situs ambiguus
H00633	Duane retraction syndrome
H00634	Duane-radial ray syndrome; Okihiro syndrome
H00635	Aniridia
H00636	Tetra-amelia syndrome
H00637	Ulnar-mammary syndrome; Schinzel syndrome
H00638	Ectrodactyly-ectodermal dysplasia-cleft lip/palate syndrome; EEC syndrome
H00639	Ectodermal dysplasia, ectrodactyly, and macular dystrophy; EEM syndrome
H00640	Limb-mammary syndrome
H00641	ADULT syndrome
H00642	Lacrimo-auriculo-dento-digital syndrome; LADD syndrome; Levy-Hollister syndrome
H00643	Tooth and nail syndrome; Witkop syndrome
H00644	Ectodermal dysplasia/skin fragility syndrome
H00645	Incontinentia pigmenti
H00646	Odontoonychodermal dysplasia
H00647	Ectodermal dysplasia-syndactyly syndrome
H00648	Ectodermal dysplasia, Clouston type; Clouston syndrome
H00649	Ectodermal dysplasia, hair-nail type
H00650	Allan-Herndon-Dudley syndrome; Monocarboxylate transporter 8 deficiency
H00651	Hypohidrotic ectodermal dysplasia
H00652	Solitary median maxillary central incisor syndrome
H00653	Marfan syndrome
H00654	Barth syndrome
H00655	McLeod syndrome
H00656	Scapuloperoneal myopathy
H00657	Reducing body myopathy
H00658	X-linked syndromic intellectual developmental disorder; Syndromic X-linked mental retardation
H00659	Shprintzen-Goldberg syndrome
H00660	Congenital contractural arachnodactyly; Beals syndrome
H00661	MASS phenotype
H00662	Ectopia lentis
H00663	Restrictive dermopathy
H00664	Anemia due to disorders of glycolytic enzymes
H00665	Mandibuloacral dysplasia
H00666	Peutz-Jeghers syndrome
H00667	Woolly hair
H00668	Anemia due to disorders of glutathione metabolism
H00669	Naxos disease
H00670	Monilethrix
H00671	Netherton syndrome
