id	name
dre00860	Porphyrin metabolism - Danio rerio (zebrafish)
dre00130	Ubiquinone and other terpenoid-quinone biosynthesis - Danio rerio (zebrafish)
dre00900	Terpenoid backbone biosynthesis - Danio rerio (zebrafish)
dre00232	Caffeine metabolism - Danio rerio (zebrafish)
dre00524	Neomycin, kanamycin and gentamicin biosynthesis - Danio rerio (zebrafish)
dre00980	Metabolism of xenobiotics by cytochrome P450 - Danio rerio (zebrafish)
dre00982	Drug metabolism - cytochrome P450 - Danio rerio (zebrafish)
dre00983	Drug metabolism - other enzymes - Danio rerio (zebrafish)
dre03020	RNA polymerase - Danio rerio (zebrafish)
dre03022	Basal transcription factors - Danio rerio (zebrafish)
dre03040	Spliceosome - Danio rerio (zebrafish)
dre03010	Ribosome - Danio rerio (zebrafish)
dre00970	Aminoacyl-tRNA biosynthesis - Danio rerio (zebrafish)
dre03013	Nucleocytoplasmic transport - Danio rerio (zebrafish)
dre03015	mRNA surveillance pathway - Danio rerio (zebrafish)
dre03008	Ribosome biogenesis in eukaryotes - Danio rerio (zebrafish)
dre03060	Protein export - Danio rerio (zebrafish)
dre04141	Protein processing in endoplasmic reticulum - Danio rerio (zebrafish)
dre04130	SNARE interactions in vesicular transport - Danio rerio (zebrafish)
dre04120	Ubiquitin mediated proteolysis - Danio rerio (zebrafish)
dre04122	Sulfur relay system - Danio rerio (zebrafish)
dre03050	Proteasome - Danio rerio (zebrafish)
dre03018	RNA degradation - Danio rerio (zebrafish)
dre03030	DNA replication - Danio rerio (zebrafish)
dre03410	Base excision repair - Danio rerio (zebrafish)
dre03420	Nucleotide excision repair - Danio rerio (zebrafish)
dre03430	Mismatch repair - Danio rerio (zebrafish)
dre03440	Homologous recombination - Danio rerio (zebrafish)
dre03450	Non-homologous end-joining - Danio rerio (zebrafish)
dre03460	Fanconi anemia pathway - Danio rerio (zebrafish)
dre03250	Viral life cycle - HIV-1 - Danio rerio (zebrafish)
dre03260	Virion - Human immunodeficiency virus - Danio rerio (zebrafish)
dre03264	Virion - Flavivirus - Danio rerio (zebrafish)
dre03265	Virion - Lyssavirus - Danio rerio (zebrafish)
dre03266	Virion - Herpesvirus - Danio rerio (zebrafish)
dre03267	Virion - Adenovirus - Danio rerio (zebrafish)
dre02010	ABC transporters - Danio rerio (zebrafish)
dre04010	MAPK signaling pathway - Danio rerio (zebrafish)
dre04012	ErbB signaling pathway - Danio rerio (zebrafish)
dre04310	Wnt signaling pathway - Danio rerio (zebrafish)
dre04330	Notch signaling pathway - Danio rerio (zebrafish)
dre04340	Hedgehog signaling pathway - Danio rerio (zebrafish)
dre04350	TGF-beta signaling pathway - Danio rerio (zebrafish)
dre04370	VEGF signaling pathway - Danio rerio (zebrafish)
dre04371	Apelin signaling pathway - Danio rerio (zebrafish)
dre04068	FoxO signaling pathway - Danio rerio (zebrafish)
dre04020	Calcium signaling pathway - Danio rerio (zebrafish)
dre04070	Phosphatidylinositol signaling system - Danio rerio (zebrafish)
dre04150	mTOR signaling pathway - Danio rerio (zebrafish)
dre04080	Neuroactive ligand-receptor interaction - Danio rerio (zebrafish)
dre04060	Cytokine-cytokine receptor interaction - Danio rerio (zebrafish)
dre04512	ECM-receptor interaction - Danio rerio (zebrafish)
dre04514	Cell adhesion molecules - Danio rerio (zebrafish)
dre04144	Endocytosis - Danio rerio (zebrafish)
dre04145	Phagosome - Danio rerio (zebrafish)
dre04142	Lysosome - Danio rerio (zebrafish)
dre04146	Peroxisome - Danio rerio (zebrafish)
dre04140	Autophagy - animal - Danio rerio (zebrafish)
dre04136	Autophagy - other - Danio rerio (zebrafish)
dre04137	Mitophagy - animal - Danio rerio (zebrafish)
dre04110	Cell cycle - Danio rerio (zebrafish)
dre04114	Oocyte meiosis - Danio rerio (zebrafish)
dre04210	Apoptosis - Danio rerio (zebrafish)
dre04216	Ferroptosis - Danio rerio (zebrafish)
dre04217	Necroptosis - Danio rerio (zebrafish)
dre04115	p53 signaling pathway - Danio rerio (zebrafish)
dre04218	Cellular senescence - Danio rerio (zebrafish)
dre04510	Focal adhesion - Danio rerio (zebrafish)
dre04520	Adherens junction - Danio rerio (zebrafish)
dre04530	Tight junction - Danio rerio (zebrafish)
dre04540	Gap junction - Danio rerio (zebrafish)
dre04814	Motor proteins - Danio rerio (zebrafish)
dre04810	Regulation of actin cytoskeleton - Danio rerio (zebrafish)
dre04620	Toll-like receptor signaling pathway - Danio rerio (zebrafish)
dre04621	NOD-like receptor signaling pathway - Danio rerio (zebrafish)
dre04622	RIG-I-like receptor signaling pathway - Danio rerio (zebrafish)
dre04623	Cytosolic DNA-sensing pathway - Danio rerio (zebrafish)
dre04625	C-type lectin receptor signaling pathway - Danio rerio (zebrafish)
dre04672	Intestinal immune network for IgA production - Danio rerio (zebrafish)
dre04910	Insulin signaling pathway - Danio rerio (zebrafish)
dre04920	Adipocytokine signaling pathway - Danio rerio (zebrafish)
dre03320	PPAR signaling pathway - Danio rerio (zebrafish)
dre04912	GnRH signaling pathway - Danio rerio (zebrafish)
dre04914	Progesterone-mediated oocyte maturation - Danio rerio (zebrafish)
dre04916	Melanogenesis - Danio rerio (zebrafish)
dre04260	Cardiac muscle contraction - Danio rerio (zebrafish)
dre04261	Adrenergic signaling in cardiomyocytes - Danio rerio (zebrafish)
dre04270	Vascular smooth muscle contraction - Danio rerio (zebrafish)
dre04744	Phototransduction - Danio rerio (zebrafish)
dre05168	Herpes simplex virus 1 infection - Danio rerio (zebrafish)
dre05132	Salmonella infection - Danio rerio (zebrafish)
